confidence	intensity	category	term
medium	high	eating	4n4
medium	high	eating	500 calories
high	high	eating	aannoorreexxiiaa
high	high	eating	aannoorreexxiicc
high	high	eating	abc dieet
high	high	eating	abc dieti
high	high	eating	abc-diät
high	high	eating	abc diet
high	high	eating	abc diets
medium	high	abuse	abuse
medium	high	abuse	abusive
high	high	eating	actually osfed
high	high	eating	an0r3x1a
high	high	eating	an0r3xia
high	high	eating	an4
medium	high	eating	ana
high	high	eating	ana boys
high	high	eating	ana challenge
high	high	eating	ana coach
high	high	eating	ana community
high	high	eating	ana comunity
high	high	eating	ana diary
high	high	eating	ana diet
high	high	eating	ana food
high	high	eating	ana girl
high	high	eating	ana meal plan
high	high	eating	ana meal planning
high	high	eating	ana meals
high	high	eating	ana meme
high	high	eating	ana memes
high	high	eating	ana miia
high	high	eating	ana motivation
high	high	eating	ana recipes
high	high	eating	ana relapse
high	high	eating	ana restriction
high	high	eating	ana things
high	high	eating	ana thinking
high	high	eating	ana thots
high	high	eating	ana thoughts
high	high	eating	ana tingz
high	high	eating	ana tips
high	high	eating	ana tumblr
high	high	eating	ana tw
medium	high	eating	ana-maat
medium	high	eating	ana-maatje
high	high	eating	ana+mia
medium	high	eating	anaa
high	high	eating	anaamiia
medium	high	eating	anabanabobana
medium	high	eating	anablrr
high	high	eating	anabuddies
high	high	eating	anabuddy
high	high	eating	anabuddyneeded
high	high	eating	anabuddywanted
high	high	eating	anacoach
high	high	eating	anaemia
high	high	eating	anahelp
high	high	eating	anam1a
high	high	eating	anamia
high	high	eating	anamiia
high	high	eating	anamiiia
high	high	eating	anamina
high	high	eating	anaposts
high	high	eating	anapro
high	high	eating	anareca
high	high	eating	anarecca
high	high	eating	anarecia
high	high	eating	anarecic
high	high	eating	anarecix
high	high	eating	anarecksia
high	high	eating	anarecya
high	high	eating	anareixa
high	high	eating	anareksea
high	high	eating	anareksia
high	high	eating	anareksic
high	high	eating	anareksja
high	high	eating	anareksya
high	high	eating	anarekxia
high	high	eating	anarex1a
high	high	eating	anarex1c
high	high	eating	anarexa
high	high	eating	anarexcya
high	high	eating	anarexea
high	high	eating	anarexia
high	high	eating	anarexic
high	high	eating	anarexie
high	high	eating	anarexii
high	high	eating	anarexiia
high	high	eating	anarexik
high	high	eating	anarexique
high	high	eating	anarexix
high	high	eating	anarexiz
high	high	eating	anarexja
high	high	eating	anarexx
high	high	eating	anarexya
high	high	eating	anarexyc
high	high	eating	anarexyx
high	high	eating	anarexyz
high	high	eating	anaspo
high	high	eating	anatips
high	high	eating	anaworkout
high	high	eating	anaworkouts
high	high	eating	anerexya
high	high	eating	anireixa
high	high	eating	anirexic
high	high	eating	anirexix
high	high	eating	ANNA MIAA
high	high	eating	anna miia
high	high	eating	annaaa
medium	high	eating	annabanna
high	high	eating	annamiia
low	high	eating	annastasia
medium	high	eating	annna
high	high	eating	annorexxa
high	high	eating	anoerixa
high	high	eating	anor3xia
high	high	eating	anoreca
high	high	eating	anorecca
high	high	eating	anorecia
high	high	eating	anorecic
high	high	eating	anorecik
high	high	eating	anorecix
high	high	eating	anorecksia
high	high	eating	anorecsick
high	high	eating	anorecsya
high	high	eating	anorectic
high	high	eating	anorecya
high	high	eating	anorecyx
high	high	eating	anoreeexia
high	high	eating	anoreexia
high	high	eating	anoreexic
high	high	eating	anoreixa
high	high	eating	anorekcia
high	high	eating	anorekcja
high	high	eating	anorekic
high	high	eating	anoreks
high	high	eating	anoreksia
high	high	eating	anoreksiya
high	high	eating	anoreksja
high	high	eating	anoreksya
high	high	eating	anorektyczka
high	high	eating	anorektyk
high	high	eating	anoressia
high	high	eating	anoressic
high	high	eating	anorex1c
high	high	eating	anorexa
high	high	eating	anorexea
high	high	eating	anorexi4
high	high	eating	anorexia
high	high	eating	anorexic
high	high	eating	anorexics
high	high	eating	anorexie
high	high	eating	anorexii
high	high	eating	anorexiia
high	high	eating	anorexiiia
high	high	eating	anorexique
high	high	eating	anorexix
high	high	eating	anorexiz
high	high	eating	anorexja
high	high	eating	anorexjc
high	high	eating	anorexua
high	high	eating	anorexx
high	high	eating	anorexxa
high	high	eating	anorexxiia
high	high	eating	anorexya
high	high	eating	anorexyc
high	high	eating	anorexyk
high	high	eating	anorexyx
high	high	eating	anorexyz
high	high	eating	anoriexa
medium	high	depression	ansiedade
medium	low	depression	anxiety
medium	high	eating	apotatowithgoals
high	high	eating	armspo
high	high	selfharm	automutilación
high	high	selfharm	automutilatie
high	high	selfharm	automutilation
medium	high	eating	binge
high	high	eating	binge disorder
high	high	eating	binge eating
medium	low	depression	bipolar
medium	high	selfharm	blade
medium	high	selfharm	blades
medium	high	eating	blithe
high	high	suicide	blue whale
high	high	suicide	blue whale challenge
high	high	suicide	blue whale game
high	high	suicide	bluewhalechallenge
high	low	eating	body shaming
medium	low	eating	body-check
medium	low	eating	bodycheck
medium	low	eating	bodychex
high	high	eating	boneespo
high	high	eating	bonesp0
high	high	eating	bonespiration
high	high	eating	bonespiro
high	high	eating	bonespo
high	high	eating	bonespoo
high	high	eating	boulimia
high	high	eating	bul1m1a
high	high	eating	bul1mia
high	high	eating	bulemic
high	high	eating	buliima
high	high	eating	buliimia
high	high	eating	buliimic
high	high	eating	bulim1a
high	high	eating	bulim1c
high	high	eating	bulima
high	high	eating	bulimea
high	high	eating	bulimi4
high	high	eating	bulimia
high	high	eating	bulimic
high	high	eating	bulimie
high	high	eating	bulimiia
high	high	eating	bulimiic
high	high	eating	bulimiii
high	high	eating	bulimiix
high	high	eating	bulimija
high	high	eating	bulimik
high	high	eating	bulimilk
high	high	eating	bulimina
high	high	eating	bulimique
high	high	eating	bulimirexia
high	high	eating	bulimix
high	high	eating	bulimiya
high	high	eating	bulimiz
high	high	eating	bulimja
high	high	eating	bulimua
high	high	eating	bulimxa
high	high	eating	bulimya
high	high	eating	bulimyc
high	high	eating	bullimia
high	high	eating	bxnespo
medium	high	eating	calorie check
medium	high	eating	collarbones
low	low	eating	cometomyteatalk
medium	low	eating	concave stomach
low	high	selfharm	cortadaas
high	high	selfharm	cortadas sangre
medium	high	selfharm	cortar
medium	high	selfharm	cortar-se
medium	high	selfharm	cortarse
medium	high	selfharm	cortes
medium	high	selfharm	coupures
high	high	eating	cptsd
low	high	depression	cuchillas alone
medium	high	selfharm	cut
high	high	selfharm	cut me
high	high	selfharm	cut-me
medium	high	selfharm	cuts
medium	high	selfharm	cutters
medium	high	selfharm	cutting
high	high	selfharm	cutting tw
high	high	selfharm	cvts
high	high	selfharm	cvtting
high	high	eating	cw disordered eating
high	high	selfharm	cw self harm
high	high	suicide	cw suicide
high	high	suicide	cw suicide mention
medium	low	eating	dainty
medium	low	eating	daintyangels
medium	high	suicide	dead inside
medium	high	suicide	death
medium	high	depression	deprecion
medium	high	depression	depresi
medium	high	depression	depresión
medium	high	depression	depresja
medium	high	depression	depressão
medium	high	depression	depressed
medium	high	depression	depressed boy
medium	high	depression	depressed girl
medium	high	depression	depressie
medium	high	depression	depression
medium	high	depression	dépression
medium	high	depression	depression blog
medium	high	depression	depressione
medium	high	depression	depressive
medium	high	depression	depressive thoughts
medium	high	depression	depresyon
medium	high	depression	disappear
high	high	abuse	domestic abuse
high	high	abuse	domestic violence
high	low	depression	dysmorphia
high	low	depression	dysphoria
high	low	depression	emotional pain
medium	low	depression	empty
high	high	abuse	estupro
medium	low	depression	forever alone
medium	low	depression	hass
high	high	depression	hate myself
high	high	depression	hate self
low	high	depression	help me
high	low	depression	i feel so alone
high	high	depression	i hate me
high	high	depression	i hate my life
medium	high	depression	i need help
high	high	depression	i ruin everything
high	high	depression	im miserable
medium	low	depression	im so sad
high	low	wellness	loneliness
high	low	wellness	lonely
high	low	wellness	low self esteem
medium	high	depression	misery
high	low	depression	never good enough
high	low	depression	nobody cares
high	high	abuse	rape
high	high	abuse	raped
high	high	abuse	rapes
high	high	abuse	rapist
high	high	abuse	rapists
high	high	abuse	relacionamento abusivo
high	high	abuse	relationship abuse
low	high	depression	save me
high	low	depression	seasonal depression
high	high	suicide	secretsociety123
medium	low	depression	self destructive
high	low	depression	self hatred
high	low	depression	selfhate
high	high	abuse	sexual assault
high	high	abuse	sexual harassment
high	high	abuse	sexual violence
high	low	depression	smutek
medium	low	depression	struggling
low	high	suicide	sue
high	high	depression	trigger warning
high	high	abuse	violência doméstica
high	high	abuse	violência sexual
high	high	abuse	wife beating
high	high	eating	dieta abc
high	high	eating	tw ana
high	high	eating	tw ana blog
high	high	eating	tw ana things
